Gene	cms_score
ITGB6	19.9332845963998
PLA2R1	19.9332845963998
IL17A	19.376533561382
IL17F	19.376533561382
MCM3	19.376533561382
MIR133B	19.376533561382
MIR206	19.376533561382
CYTH4	18.9292725607454
ELFN2	18.9292725607454
LOC100506271	18.9292725607454
RAC2	18.9292725607454
C12orf73	18.2176918298098
GLT8D2	18.2176918298098
GNN	18.2176918298098
HSP90B1	18.2176918298098
MIR3652	18.2176918298098
NT5DC3	18.2176918298098
TDG	18.2176918298098
MFNG	17.917900240122
EXOC4	17.4527197595832
MIR6133	17.4527197595832
ANXA2	17.1876479400582
NARG2	17.1876479400582
MIR4785	17.165339996078
RBMS1	17.165339996078
ANKRD27	17.057641301334
NUDT19	17.057641301334
RGS9BP	17.057641301334
SLC7A9	17.057641301334
TDRD12	17.057641301334
ACACB	16.8777471872914
ALKBH2	16.8777471872914
FOXN4	16.8777471872914
UNG	16.8777471872914
USP30	16.8777471872914
PAQR8	16.728423561231
C8orf49	16.4504870642498
CTSB	16.4504870642498
FDFT1	16.4504870642498
GATA4	16.4504870642498
NEIL2	16.4504870642498
ADAMTS13	16.3187872008308
ADAMTSL2	16.3187872008308
CACFD1	16.3187872008308
FAM163B	16.3187872008308
SLC2A6	16.3187872008308
TMEM8C	16.3187872008308
MIR1205	16.0843866804148
MIR1206	16.0843866804148
MIR1207	16.0843866804148
PVT1	16.0843866804148
TMEM75	16.0843866804148
PRRX1	15.7656048955568
DENND3	15.7508973553228
GPR20	15.7508973553228
LINC01300	15.7508973553228
SLC45A4	15.7508973553228
FKBP9	15.7087225435436
KBTBD2	15.7087225435436
NT5C3A	15.7087225435436
RP9P	15.7087225435436
PLXNA4	15.6256495997116
LRIG1	15.525125356876
SLC25A26	15.525125356876
EFHC1	15.504760386322
C20orf96	15.247874319628
DEFB128	15.247874319628
DEFB129	15.247874319628
DEFB132	15.247874319628
LOC100507459	15.247874319628
NRSN2	15.247874319628
SOX12	15.247874319628
ZCCHC3	15.247874319628
LHFP	15.1606240734758
TEAD4	14.5789778106762
TSPAN9	14.5789778106762
KIAA0391	14.2430410254076
NFKBIA	14.2430410254076
PSMA6	14.2430410254076
THRB	14.1738689801234
EFCAB2	14.150358683342
KIF26B	14.150358683342
ACSM2A	13.9413541913052
ACSM5	13.9413541913052
GP2	13.9413541913052
PDILT	13.9413541913052
UMOD	13.9413541913052
CROCCP3	13.9152246040312
MIR3675	13.9152246040312
NECAP2	13.9152246040312
SPATA21	13.9152246040312
SZRD1	13.9152246040312
BRPF3	13.7375446960572
C6orf222	13.7375446960572
ETV7	13.7375446960572
PNPLA1	13.7375446960572
PXT1	13.7375446960572
ATF6	13.725893219577
DUSP12	13.725893219577
FCGR2B	13.725893219577
FCGR3B	13.725893219577
FCRLA	13.725893219577
FCRLB	13.725893219577
HSPA7	13.725893219577
RPL31P11	13.725893219577
SLC44A5	13.6136653125052
MCC	13.581924009135
TSSK1B	13.581924009135
LOC102724084	13.4922827622538
ADH1A	13.4913383919074
ADH1B	13.4913383919074
ADH1C	13.4913383919074
ADH7	13.4913383919074
LOC100507053	13.4913383919074
YTHDC2	13.4873525787952
MNAT1	13.4413165475028
AP1S1	13.3263261217834
CLDN15	13.3263261217834
FIS1	13.3263261217834
MIR4653	13.3263261217834
MOGAT3	13.3263261217834
NAT16	13.3263261217834
PLOD3	13.3263261217834
SERPINE1	13.3263261217834
TRIM56	13.3263261217834
VGF	13.3263261217834
ZNHIT1	13.3263261217834
PRKAA1	13.1754065167078
PTGER4	13.1754065167078
TTC33	13.1754065167078
A2MP1	12.926643697041
DDX12P	12.926643697041
LINC00987	12.926643697041
LOC101928030	12.926643697041
LOC101930452	12.926643697041
LOC642846	12.926643697041
MIR1244-1	12.926643697041
MIR1244-2	12.926643697041
MIR1244-3	12.926643697041
LOC101927630	12.7782748447478
DDX6	12.7609198645682
MIR6716	12.7609198645682
PHLDB1	12.7609198645682
TREH	12.7609198645682
ID4	12.708064174885
ADORA3	12.649768803363
ATP5F1	12.649768803363
C1orf162	12.649768803363
OVGP1	12.649768803363
PGCP1	12.649768803363
PIFO	12.649768803363
WDR77	12.649768803363
FMNL2	12.6070297356674
PRPF40A	12.6070297356674
CRISPLD2	12.5994437108552
USP10	12.5994437108552
BAZ2B	12.5862770057638
MIR6888	12.5862770057638
TANC1	12.5862770057638
WDSUB1	12.5862770057638
FBXO40	12.5205967215552
GOLGB1	12.5205967215552
HCLS1	12.5205967215552
IQCB1	12.5205967215552
ARHGAP23	12.5151469249988
SOCS7	12.5151469249988
SRCIN1	12.5151469249988
ARHGEF19	12.4502565945446
EPHA2	12.4502565945446
FBXO42	12.4502565945446
RSG1	12.4502565945446
MITF	12.3867616899542
C19orf40	12.327547524493
CEP89	12.327547524493
RHPN2	12.327547524493
ARSB	12.2234278543894
LHFPL2	12.2234278543894
BCAR1	12.1456174142014
CTRB1	12.1456174142014
CTRB2	12.1456174142014
LDHD	12.1456174142014
LOC100506281	12.1456174142014
ZFP1	12.1456174142014
ZNRF1	12.1456174142014
TRIML1	12.0361681509262
TRIML2	12.0361681509262
SYK	12.0090491609706
